sample_index,delay_year,task_id,run_type,comparison_type,tree_spec,decision_times_optimal,decision_times_delayed,ra,eis,pref,tech_chg,tech_scale,bs_premium,growth,baseline_num,dam_func,tip_on,d_unc,t_unc,no_free_lunch,period_len,emissions_time_step,damage_file_tag,u_optimal,u_delayed,utility_loss,m_opt_2025,m_opt_2030,m_opt_2035,m_opt_2040,m_opt_2045,m_opt_2060,m_opt_2100,m_opt_2150,m_opt_2200,m_opt_2250,m_delay_2025,m_delay_2030,m_delay_2035,m_delay_2040,m_delay_2045,m_delay_2060,m_delay_2100,m_delay_2150,m_delay_2200,m_delay_2250,T_opt_2025,T_opt_2030,T_opt_2035,T_opt_2040,T_opt_2045,T_opt_2060,T_opt_2100,T_opt_2150,T_opt_2200,T_opt_2250,T_delay_2025,T_delay_2030,T_delay_2035,T_delay_2040,T_delay_2045,T_delay_2060,T_delay_2100,T_delay_2150,T_delay_2200,T_delay_2250,conc_opt_2025,conc_opt_2030,conc_opt_2035,conc_opt_2040,conc_opt_2045,conc_opt_2060,conc_opt_2100,conc_opt_2150,conc_opt_2200,conc_opt_2250,conc_delay_2025,conc_delay_2030,conc_delay_2035,conc_delay_2040,conc_delay_2045,conc_delay_2060,conc_delay_2100,conc_delay_2150,conc_delay_2200,conc_delay_2250,dam_opt_2025,dam_opt_2030,dam_opt_2035,dam_opt_2040,dam_opt_2045,dam_opt_2060,dam_opt_2100,dam_opt_2150,dam_opt_2200,dam_opt_2250,dam_delay_2025,dam_delay_2030,dam_delay_2035,dam_delay_2040,dam_delay_2045,dam_delay_2060,dam_delay_2100,dam_delay_2150,dam_delay_2200,dam_delay_2250,price_opt_2025,price_opt_2030,price_opt_2035,price_opt_2040,price_opt_2045,price_opt_2060,price_opt_2100,price_opt_2150,price_opt_2200,price_opt_2250,price_delay_2025,price_delay_2030,price_delay_2035,price_delay_2040,price_delay_2045,price_delay_2060,price_delay_2100,price_delay_2150,price_delay_2200,price_delay_2250
high_eis,5,7,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,1.86,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,153.03261026667425,152.4476928318365,0.584917434837763,0.0,0.9988861116130702,0.9987835328351671,0.998680954057264,0.9985783752793609,0.9982706389456517,0.9975819459958931,0.9917825365537408,0.9828940624178147,nan,0.0,1.1149141078137248e-06,0.1308606064325839,0.26172009795106,0.39257958946953614,0.7851580640249645,0.8705589772648477,0.8860801616864115,0.8877258577940588,nan,1.419600009918213,1.4197238636016847,1.4199294392267863,1.420135014851888,1.42034059047699,1.420957317352295,1.4227972078323365,1.432189306020737,1.4479598611593247,nan,1.419600009918213,1.5307991695404053,1.5403696767489117,1.5499401839574178,1.5595106911659242,1.5882222127914432,1.5907499623298647,1.594127299785614,1.6057388228178024,nan,425.6,423.44722504939443,420.86891926589,418.29061348238554,415.7123076988811,407.9773903483677,389.0758720169355,369.0501336039405,352.1671853426753,nan,425.6,447.7808445891872,445.1607409709644,442.54063735274167,439.9205337345189,432.0602228798506,408.7702967065322,385.49355370585647,367.0268513208405,nan,0.0,0.0005906009076240518,0.0012718339954108002,0.0019530670831975484,0.002634300170984297,0.004677999434344542,0.020237721041449653,0.02223626861699905,0.02360434644260796,nan,0.0,0.0006335002432514775,0.001444059016813851,0.0022546177903762245,0.0030651765639385983,0.005496852884625719,0.022979970569858597,0.025184950246184376,0.026532559291562195,nan,284.0315064441526,262.82210356511735,236.52070961997163,210.21931567482588,183.91792172968013,105.01373989424295,28.355750718159758,5.450948948804342,0.8612726088137004,nan,0.0,263.1176310154897,238.50924316625014,213.90085531701064,189.2924674677711,115.46730392005253,34.51695766138441,7.150560565292453,1.330049269175132,nan
high_eis,10,8,delay_frontier,same_grid,default,0|10|35|75|125|175|225,0|10|35|75|125|175|225,10.0,1.86,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,153.03980155191113,152.00089297285885,1.0389085790522756,0.0,0.4971893498566563,0.9943786997133126,0.9949716422691172,0.9955645848249217,0.9973434124923353,0.9928524866982642,0.9863674911748392,0.9767527862224321,nan,0.0,0.0,0.0,0.12777062056540128,0.25554124113080257,0.6388531028270064,0.7838077790892143,0.8118767960197062,0.8190096008699645,nan,1.419600009918213,1.4202316761016847,1.4208633422851562,1.4210276870727538,1.4211920318603515,1.4216850662231446,1.42905061006546,1.4404852557182313,1.4581414568424225,nan,1.419600009918213,1.5319710063934326,1.6443420028686524,1.656084013938904,1.6678260250091552,1.7030520582199096,1.7054544353485108,1.7078082287311556,1.7196632128953935,nan,425.6,423.2890287818966,420.97805756379313,418.3962862401604,415.8145149165277,408.0692009456295,389.98444230327794,370.029955100602,353.2672323484818,nan,425.6,445.57376641308576,465.5475328261715,462.11633578551726,458.68513874486297,448.3915476229002,421.68965610764496,396.5858309566586,377.36744435387055,nan,0.0,0.000628893169413223,0.001257786338826446,0.0019427430636424418,0.002627699788458438,0.004682569962906426,0.020260575759357666,0.022253748198190024,0.0236369153164633,nan,0.0,0.0007490528371227405,0.001498105674245481,0.002420982736999331,0.003343859799753181,0.006112490988014731,0.024925026335190108,0.027285056204172545,0.02869353523092664,nan,280.7107575395705,253.5167682409266,226.3227789422827,201.45802614005373,176.59327333782477,101.99901493113789,28.076980124915046,5.257546638331913,0.8670572763726013,nan,0.0,121.3869633769084,242.7739267538168,218.9566321298363,195.13933750585576,123.68745363391423,38.38433560597843,8.075118419311364,1.7633628177261642,nan
no_endogenous_learning,5,22,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.265423275317293,24.20985298305896,0.05557029225833432,0.0,0.9322588445244249,0.9175829822396739,0.902907119954923,0.8882312576701721,0.8442036708159192,0.8191476527333379,0.7921348968002988,0.7817446518715992,nan,0.0,1.1149141078137248e-06,0.1104302035404849,0.22085929216686198,0.3312883807932391,0.6625756466723703,0.7222260507320399,0.7127125048561107,0.7099572590945666,nan,1.419600009918213,1.4271327686309816,1.4462571907043458,1.4653816127777102,1.4845060348510744,1.541879301071167,1.6587272238731385,1.738053183555603,1.7814446133375168,nan,1.419600009918213,1.5307991695404053,1.5564048131306967,1.582010456720988,1.6076161003112794,1.6844330310821534,1.7868792438507082,1.8597297573089602,1.9004606264829635,nan,425.6,425.07030357097307,425.5162763834398,425.9622491959065,426.4082220083732,427.74614044577334,420.3925943700606,404.0901736678985,386.04072980027723,nan,425.6,447.7808445891872,447.8140095205837,447.8471744519801,447.8803393833765,447.97983417756586,434.9418078043643,416.31294699278084,397.29632428088485,nan,0.0,0.0005930265396571406,0.0013575057415956648,0.002121984943534189,0.0028864641454727133,0.005179901751288287,0.02294413449076696,0.02606380435846176,0.027812145186765804,nan,0.0,0.0006335002432514775,0.0015142588945070519,0.002395017545762626,0.003275776197018201,0.0059180521507849245,0.02519443603371093,0.02843121695246778,0.03022627692053969,nan,238.36811835272474,169.03428262815441,157.75934873736705,146.48441484657968,135.20948095579232,101.3846792834302,36.45073987537106,20.42927730843099,10.031332616018641,nan,0.0,180.0293398646934,168.01194456397155,155.99454926324967,143.9771539625278,107.9249680603622,40.221613828607516,21.817388581285933,10.517367816768004,nan
high_eis,15,9,delay_frontier,same_grid,default,0|15|35|75|125|175|225,0|15|35|75|125|175|225,10.0,1.86,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,153.03510893688824,151.5125613342494,1.5225476026388378,0.0,0.3324399245737863,0.6648798491475726,0.9973197737213589,0.9971044403900525,0.9964584403961334,0.9944161977140118,0.9880932644649949,0.97801833244334,nan,0.0,0.0,0.0,0.0,0.1234542392610212,0.4938169570440848,0.6974827406885149,0.7347110514735049,0.7514455421831997,nan,1.419600009918213,1.4199031352996827,1.4202062606811523,1.4205093860626221,1.420976952314377,1.4223796510696411,1.4269830346107484,1.437841339111328,1.4560433131456376,nan,1.419600009918213,1.5326981767018637,1.6457963434855143,1.758894510269165,1.7733923959732056,1.816886053085327,1.8195954298973085,1.8260275769233703,1.8316773784160616,nan,425.6,423.1453662302927,420.6907324605854,418.2360986908781,415.73086198495866,408.21515186720035,389.6562475804054,369.7126244822864,353.0810462619922,nan,425.6,444.2341027370398,462.8682054740796,481.5023082111194,477.4469112139549,465.28072022246124,434.8236261631364,408.49187034698605,387.32921359626886,nan,0.0,0.0006546290116927722,0.0013092580233855444,0.0019638870350783167,0.002643941484902063,0.004684104834373302,0.020263999862186476,0.022261744139507534,0.02365657749940291,nan,0.0,0.0008681772515136875,0.001736354503027375,0.0026045317545410627,0.0036407745806453177,0.006749503058958082,0.026914985134582792,0.029505370562622535,0.030969168325034897,nan,282.87339414803546,252.79024826585015,222.70710238366485,192.62395650147954,170.37639059930993,103.6336928928011,28.09660517048735,5.245545512150362,0.8325229652551646,nan,0.0,75.45704466696694,150.91408933393387,226.37113400090084,202.76331654503971,131.93986417745634,40.04277284575741,10.051533336009804,2.0637316897892,nan
no_endogenous_learning,15,24,delay_frontier,same_grid,default,0|15|35|75|125|175|225,0|15|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.26967459930749,24.143591944931686,0.12608265437580357,0.0,0.29042118257031646,0.5808423651406329,0.8712635477109495,0.8715444925360356,0.8723873270112937,0.8394294824972233,0.8095597587963774,0.7971931192576001,nan,0.0,0.0,0.0,0.0,0.1122495684558559,0.4489982738234236,0.6001330098572172,0.6089018589698172,0.6155002836230897,nan,1.419600009918213,1.4341598637898763,1.4487197176615398,1.4632795715332032,1.477399402856827,1.5197588968276978,1.6319101119041446,1.711357972621918,1.7558326649665834,nan,1.419600009918213,1.5326981767018637,1.6457963434855143,1.758894510269165,1.78218656539917,1.8520627307891846,1.9483135318756102,2.018769587278366,2.0570604443550113,nan,425.6,425.8108785212338,426.0217570424675,426.2326355637013,425.6384786708645,423.8560079923541,417.1070485191238,401.41684807990293,383.76628208730256,nan,425.6,444.2341027370398,462.8682054740796,481.5023082111194,479.00677754216383,471.52018553529723,452.97302326676817,431.73652497684304,411.31660361354994,nan,0.0,0.0006795315534783112,0.0013590631069566224,0.0020385946604349336,0.0028017425494542684,0.005091186216512273,0.022620673342939598,0.025680491547165715,0.027405363684799674,nan,0.0,0.0008681772515136875,0.001736354503027375,0.0026045317545410627,0.0036797556136288394,0.006905427190892169,0.028267208717974793,0.03181053174571398,0.03375722196137429,nan,202.4169295966885,191.4174191718983,180.4179087471081,169.4183983223179,152.60008223013892,102.14513395360198,36.73888414540816,20.32800658638194,9.692457825783958,nan,0.0,60.78092424242176,121.56184848484352,182.3427727272653,164.18424671308327,109.70866867053715,41.611202676995845,22.35903273471044,10.217097670146089,nan
low_ra,20,20,delay_frontier,same_grid,default,0|20|35|75|125|175|225,0|20|35|75|125|175|225,3.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.390351502143304,24.237504780830168,0.1528467213131357,0.0,0.20781021956114346,0.4156204391222869,0.6234306586834304,0.8312408782445738,0.8572175389265462,0.8556675529489783,0.8504560620997188,0.8525333700202662,nan,0.0,0.0,0.0,0.0,0.0,0.3161419662237846,0.5307655674468645,0.5683383066387728,0.5899293346681328,nan,1.419600009918213,1.4387473368644714,1.45789466381073,1.4770419907569885,1.496189317703247,1.531665153503418,1.6104397535324098,1.6487040793895722,1.6640842986106874,nan,1.419600009918213,1.5330595302581786,1.6465190505981444,1.7599785709381104,1.8734380912780761,1.9563371801376341,2.0400327944755556,2.0809136998653415,2.099454411864281,nan,425.6,426.4720106959436,427.34402139188717,428.2160320878308,429.08804278377437,425.27984780334214,413.4700175446211,392.8574869911795,372.93617704168025,nan,425.6,443.2788010060891,460.9576020121782,478.6364030182673,496.3152040243564,487.9473861069928,463.36547215868677,436.41481046078974,413.60482502389345,nan,0.0,0.0007170397678606453,0.0014340795357212907,0.002151119303581936,0.0028681590714425814,0.0051713558685885265,0.022523000007038416,0.02493227774717103,0.026310424937456445,nan,0.0,0.0009870426615577604,0.001974085323115521,0.0029611279846732813,0.003948170646231042,0.007529511529629534,0.030034606844419408,0.033236395455660775,0.034968963061460495,nan,181.48986184197364,170.8129941678159,160.1361264936582,149.45925881950046,138.78239114534273,79.90353124028654,24.44709582960979,6.828558887872353,1.7150157652140754,nan,0.0,42.17808167300602,84.35616334601204,126.53424501901806,168.71232669202408,99.77906929426888,34.05970165338432,11.138558284058472,3.118246723706516,nan
no_endogenous_learning,20,25,delay_frontier,same_grid,default,0|20|35|75|125|175|225,0|20|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.26913667288699,24.10397686791351,0.16515980497348082,0.0,0.21543449260983602,0.43086898521967204,0.646303477829508,0.8617379704393441,0.8717288698612684,0.8367561151874261,0.8075276462314068,0.7959613409396014,nan,0.0,0.0,0.0,0.0,0.0,0.3218248218452051,0.526249844388391,0.5471287424681406,0.5587353404994515,nan,1.419600009918213,1.43528715133667,1.450974292755127,1.466661434173584,1.4823485755920411,1.5202756977081302,1.6354449009895324,1.714471206665039,1.757874825000763,nan,1.419600009918213,1.5330595302581786,1.6465190505981444,1.7599785709381104,1.8734380912780761,1.9518768978118899,2.046003589630127,2.1134071445465086,2.151170802116394,nan,425.6,425.8553924409195,426.110784881839,426.36617732275846,426.62156976367794,423.7590141904475,417.6029754339687,401.73187656611555,383.9041191844051,nan,425.6,443.2788010060891,460.9576020121782,478.6364030182673,496.3152040243564,487.1190718931295,464.3928049001718,441.03450225571316,419.88285299961484,nan,0.0,0.000708371086002806,0.001416742172005612,0.002125113258008418,0.002833484344011224,0.0051078764761376995,0.02270965077065288,0.025763501069113293,0.027492857223887453,nan,0.0,0.0009870426615577604,0.001974085323115521,0.0029611279846732813,0.003948170646231042,0.00751032522119139,0.030111750445818066,0.03380070705309588,0.03583837364206065,nan,197.2554803986025,188.80241550348927,180.34935060837608,171.8962857132629,163.44322081814968,100.66368800820194,37.27924084495341,20.381946818043797,9.940073419789218,nan,0.0,43.653305060043905,87.30661012008781,130.9599151801317,174.61322024017562,110.12315857450017,42.77939190590892,22.655737630982607,11.78055829118334,nan
low_ra,15,19,delay_frontier,same_grid,default,0|15|35|75|125|175|225,0|15|35|75|125|175|225,3.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.390667661955938,24.272496709027823,0.1181709529281143,0.0,0.2781255274068728,0.5562510548137456,0.8343765822206185,0.8418831844352141,0.864402991079001,0.8579279109587448,0.8526776692372395,0.8547859532116514,nan,0.0,0.0,0.0,0.0,0.11019442709795585,0.4407777083918234,0.6052988258220846,0.6323480822143368,0.6512079737832347,nan,1.419600009918213,1.4383317120869954,1.4570634142557781,1.4757951164245606,1.4883527207374574,1.5260255336761475,1.6074510550498962,1.645300536155701,1.6603497505187987,nan,1.419600009918213,1.5326981767018637,1.6457963434855143,1.758894510269165,1.7837995767593384,1.8585147762298586,1.94148316860199,1.9828495395183565,1.9978608167171477,nan,425.6,426.5908656808261,427.5817313616522,428.57259704247826,427.5519671354805,424.490077414487,413.2097598230528,392.5235305744268,372.5804788481428,nan,425.6,444.2341027370398,462.8682054740796,481.5023082111194,479.29288255983516,472.66460560598256,451.75415761596497,426.62452544634084,404.0744660111318,nan,0.0,0.0006869548889642656,0.0013739097779285313,0.002060864666892797,0.002827608918649919,0.005127841673921284,0.02236493931360008,0.02475193136000553,0.026110071059676245,nan,0.0,0.0008681772515136875,0.001736354503027375,0.0026045317545410627,0.0036861690032168404,0.006931080749244174,0.028175563360069333,0.031216315198385337,0.03281404316011932,nan,183.05900264420194,174.23510465473112,165.4112066652603,156.58730867578947,137.2731519325784,79.33068170294524,24.48490212908771,6.948580518787942,1.5744185346075614,nan,0.0,58.8604364457035,117.720872891407,176.5813093371105,156.25321753164351,95.26894211524252,31.00040006595756,10.454331186432764,2.992245007461735,nan
no_endogenous_learning,0,21,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.833,0.002,1.5,0.0,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.26552442446272,24.265479391196006,4.503326671212449e-05,0.0,0.9376527989784889,0.9227848425668964,0.9079168861553041,0.8930489297437116,0.8484450605089344,0.8223314741277867,0.794718822658772,0.7824926027419624,nan,0.0,0.9357830880195254,0.9202805420954534,0.9047779961713814,0.8892754502473095,0.8427678124750937,0.8202513080976636,0.7936208405479045,0.7828614931282354,nan,1.419600009918213,1.4265329647064209,1.4452025334040324,1.4638721021016439,1.4825416707992556,1.53855037689209,1.6545175004005432,1.7340945613384249,1.7802045887708666,nan,1.419600009918213,1.4267408752441406,1.4461184390385946,1.4654960028330486,1.4848735666275026,1.5430062580108643,1.6572679448127747,1.7357766902446747,1.7795930069684984,nan,425.6,424.9389157049782,425.3182164821853,425.6975172593923,426.0768180365993,427.21472036822047,419.87174028761245,403.695631592831,386.07162666846733,nan,425.6,424.98446945775254,425.47794111636773,425.97141277498287,426.46488443359806,427.9452994094436,420.1377369756766,403.79760885168025,385.86620201837724,nan,0.0,0.0005928268892448533,0.0013542504676194167,0.0021156740459939804,0.002877097624368544,0.005161368359492235,0.022856841822081624,0.025966501064015907,0.027735608165333735,nan,0.0,0.000592896023721764,0.0013577255341113113,0.0021225550445008587,0.002887384554890406,0.005181873086059048,0.022903393525517016,0.02600401841709929,0.027743717256529916,nan,241.8032508796274,171.2134015142623,159.66402008715957,148.1146386600568,136.56525723295408,101.91711295164585,36.496202884224004,19.69390433340157,9.930143642449437,nan,240.60729108206016,168.38193115597852,157.47470409483674,146.56747703369493,135.66024997255315,102.93856878912777,36.869434816089175,20.524388488526384,9.940550052615585,nan
low_ra,5,17,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,3.0,0.833,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,24.379119132003822,24.330101709114192,0.04901742288963007,0.0,0.9096060196799286,0.8944503248474382,0.879294630014948,0.8641389351824578,0.8186718506849868,0.8278357331526374,0.8279553796481609,0.832266295332366,nan,0.0,1.1149141078137248e-06,0.10761702428129111,0.2152329336484744,0.3228488430156577,0.6456965711172076,0.7241233524935018,0.7354297510883618,0.7464237946554114,nan,1.419600009918213,1.429651746749878,1.4516961836814881,1.4737406206130983,1.4957850575447083,1.5619183683395388,1.6472396397590638,1.6831755411624907,1.697684995532036,nan,1.419600009918213,1.5307991695404053,1.5586127829551697,1.586426396369934,1.6142400097846985,1.6976808500289917,1.784370586872101,1.8249265158176422,1.8400029122829438,nan,425.6,425.62214767584993,426.51519448494304,427.40824129403615,428.3012881031292,430.9804285304085,418.02517458852117,396.2323323619478,375.93156824196404,nan,425.6,447.7808445891872,448.17935234974755,448.5778601103078,448.9763678708681,450.17189115254905,434.13587229715483,411.12961484877235,389.74238157684806,nan,0.0,0.0005938710332951756,0.001373903393106015,0.0021539357529168548,0.002933968112727694,0.005274065192160213,0.02288523150022668,0.025323719905285962,0.026711839533951273,nan,0.0,0.0006335002432514775,0.0015249630216850902,0.002416425800118703,0.0033078885785523156,0.005982276913853154,0.025158634816234402,0.02788448425559179,0.029374352120347495,nan,224.40850352831072,158.1448657077439,145.2061533150589,132.26744092237394,119.32872852968896,80.51259135163403,25.7125156592135,7.369074107539223,1.6374655307551702,nan,0.0,170.85582958768254,156.8730192215174,142.89020885535226,128.90739848918713,86.95896739069171,27.164928035514148,8.567492942131652,2.2415213028322416,nan
low_eis,0,1,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.55,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,9.278247944398847,9.278253094025983,-5.149627135381252e-06,0.0,0.473932148646414,0.4661312813220642,0.4583304139977145,0.45052954667336476,0.42712694470031554,0.45511456558714647,0.45825845844697055,0.4734404921119495,nan,0.0,0.4753603536186455,0.46771959085041453,0.46007882808218364,0.4524380653139527,0.4295157770092599,0.4570390590614204,0.45954966776783396,0.4752432307514851,nan,1.419600009918213,1.478098373413086,1.5432867781321207,1.6084751828511556,1.6736635875701904,1.8692288017272949,2.1400603270530705,2.2495580637454986,2.292580768465996,nan,1.419600009918213,1.4779395580291748,1.5428419462839762,1.6077443345387776,1.672646722793579,1.8673538875579836,2.1375157165527345,2.2475799071788787,2.2895920157432554,nan,425.6,436.23549564261833,443.57330406961484,450.91111249661134,458.2489209236079,480.2623462045974,481.67333943018923,458.33292110070505,434.5210223857685,nan,425.6,436.2007253096963,443.49348254387917,450.7862397780621,458.078997012245,479.9572687147937,481.3541020798751,458.155669234328,434.1960894442075,nan,0.0,0.0006113082050422658,0.0016709831619555545,0.002730658118868843,0.003790333075782132,0.006969357946521999,0.031557988307982066,0.03633933247076139,0.03858611158198613,nan,0.0,0.0006112473220361121,0.0016685743261558633,0.0027259013302756143,0.003783228334395366,0.006955209346754619,0.03150777487262481,0.03628294483942324,0.038525039736496985,nan,61.16078618246081,47.29207028540033,45.423994322172796,43.55591835894527,41.68784239571774,36.08361450603515,13.633781979419135,8.720922473797915,3.77003937153387,nan,61.467381752337545,47.88439898225207,45.91518242376464,43.945965865277216,41.976749306789785,36.0690996313275,13.559327882230944,8.764590501243234,3.557402732362907,nan
low_eis,5,2,delay_frontier,same_grid,default,0|5|35|75|125|175|225,0|5|35|75|125|175|225,10.0,0.55,0.002,1.5,1.5,10000.0,0.015,2,0,1,1,1,False,5.0,nan,_GRID5,9.278053034348114,9.270975947618336,0.007077086729777804,0.0,0.46920937248531114,0.46289334478422844,0.45657731708314575,0.45026128938206306,0.431313206278815,0.4550029389178265,0.4577492923065067,0.47330528496132507,nan,0.0,1.1149141078137248e-06,0.056104790176403,0.11220846543869818,0.16831214070099337,0.33662316648787893,0.396860212115163,0.4062493550326191,0.42497704556576527,nan,1.419600009918213,1.4786235427856447,1.543176809946696,1.6077300771077474,1.672283344268799,1.865943145751953,2.1402079224586488,2.2503381156921387,2.2928049278259275,nan,1.419600009918213,1.5307991695404053,1.5990430037180583,1.6672868378957113,1.7355306720733643,1.9402621746063233,2.217085602283478,2.3292369723320006,2.3729281103610993,nan,425.6,436.3505520394699,443.57574307117,450.8009341028701,458.0261251345702,479.70169822967046,481.802524898324,458.4753387805404,434.54051677648704,nan,425.6,447.7808445891872,454.8691752426826,461.9575058961781,469.0458365496735,490.31082851015975,490.8908884052523,466.73695501650934,442.33523044894,nan,0.0,0.0006119120350306451,0.0016685573880337568,0.0027252027410368685,0.0037818480940399806,0.006951784153049316,0.03159312202920684,0.03637987245230657,0.038636184057762535,nan,0.0,0.0006335002432514775,0.001759716676420559,0.0028859331095896406,0.004012149542758722,0.007390798842265967,0.03304455271250932,0.038065145926487444,0.04043361525107805,nan,60.153562558598566,48.52082736223261,46.265351404275066,44.00987544631753,41.75439948835999,34.987971614487364,13.603665539154164,8.762219667532378,3.4986235810334962,nan,0.0,49.79019959191511,47.46094713225607,45.13169467259702,42.802442212937976,35.81468483396085,13.871208342437836,9.4085519156989,3.7378896220119318,nan
