delay_year,scenario,year,mean,std,n,p05,p25,median,p75,p95
5,Delayed,2025,0.0,0.0,2028,0.0,0.0,0.0,0.0,0.0
5,Delayed,2030,1335.3134300423483,15051.578382179707,2027,27.48161430796042,55.112371674608056,100.65017632096117,190.06596475244146,262.3907331082228
5,Delayed,2035,1239.883369248859,13064.087345824253,2027,26.881993341738387,52.49513812176433,95.14576119015464,176.75043088762862,237.90958938777482
5,Delayed,2040,1144.45330845537,11207.17576677935,2027,25.979394361395183,49.57938016153064,88.32160250873902,160.0155442195445,214.21126543316262
5,Delayed,2060,762.7330652814127,7309.09513260548,2027,22.37940923865305,38.19505434377018,61.00723583673119,85.65996793778945,125.95481338323913
5,Delayed,2100,249.74493650098367,3030.198176725382,2027,7.823889837844161,12.423575337046785,17.470731138840748,24.749276564523498,43.73569941532092
5,Delayed,2150,117.5808459725929,1238.8010963262527,2027,2.2687040314666924,4.778954480676239,7.07790381075467,10.16033633846942,20.320461256632733
5,Delayed,2200,49.426855675205765,645.637877754726,2027,0.3203119927328972,1.1657992870690117,2.542039334035543,4.257985269305312,9.22254413098277
5,Optimal,2025,2095.5284456062245,24998.352472392497,2027,31.81313141436151,69.79947039817489,136.36705059951183,256.3091383639537,289.26452372459175
5,Optimal,2030,1279.140920489747,18510.793380157993,2027,27.588899275438674,54.128306663763645,96.48365294708262,174.84231709217312,261.19749872449927
5,Optimal,2035,1167.1845099830032,15646.060665685975,2027,26.660200143645774,51.52934006698862,91.58698387131814,163.30315973821217,234.31559855756007
5,Optimal,2040,1055.2280994762596,12880.506060540649,2027,25.843284234098473,48.66443831082283,84.85328142205502,147.04761237002168,208.21477689164988
5,Optimal,2060,607.4024574492843,6318.632507081746,2027,22.219619596605718,37.27780957625485,57.42885737018753,77.8640212676813,114.80492159140074
5,Optimal,2100,269.47135924631795,2504.944040608803,2027,7.609447504371296,11.809642376193743,16.256764312419442,22.47409207439208,39.21910577851085
5,Optimal,2150,101.17383082314497,1118.187060423927,2027,1.731180509411317,4.242435642202899,6.461761594033836,9.317222733865876,17.534943294037618
5,Optimal,2200,41.97257407071891,562.7324106012273,2027,0.23912060037330315,0.9283382671950636,2.232926872015611,3.920546463217963,8.104138021328204
10,Delayed,2025,0.0,0.0,2033,0.0,0.0,0.0,0.0,0.0
10,Delayed,2030,617.7669921343061,6577.110481975961,2032,14.536151698533988,28.330373608400187,51.61340192357021,95.35793705640215,123.40627684898223
10,Delayed,2035,1235.5339842686121,13154.220963951922,2032,29.072303397067977,56.660747216800374,103.22680384714042,190.7158741128043,246.81255369796446
10,Delayed,2040,1116.8589575519572,11221.312817357206,2032,27.82524685210074,53.25152388793671,95.50191588890071,172.88346970082242,223.97342104436092
10,Delayed,2060,642.1588506853386,6203.63209784293,2032,22.639958530040882,38.75253320277587,62.02273097325313,90.031620362554,131.81829690481766
10,Delayed,2100,293.0918084115978,2668.1939279723965,2032,8.056939240191685,12.807767995954332,18.17221859452151,26.240559788147987,47.16667766927238
10,Delayed,2150,102.33553969570723,1047.3640559751877,2032,2.512693240693677,5.104150789624887,7.39187951170952,10.679119002209115,21.316303654795025
10,Delayed,2200,52.18156723732033,662.3148632095982,2032,0.36256708993064274,1.3009844879395924,2.7226179433432924,4.506280285549252,9.89214768117974
10,Optimal,2025,1429.0576993917364,23302.018685907777,2032,28.536066593153873,62.82257152904611,119.41745688435435,224.62709731332887,288.22092273632813
10,Optimal,2030,1325.5817614081639,14234.918290423018,2032,28.75525226261966,59.04445065076271,109.35695656080013,201.0592504900963,254.95826102834
10,Optimal,2035,1222.105823424591,12516.72341562232,2032,28.423277444019686,54.945761016757416,97.20613577525293,170.7326415935754,226.3347707073577
10,Optimal,2040,1088.2116294052532,10751.40617954569,2032,27.16622553548303,51.537336769612935,89.47295424121918,152.71500595594966,202.79001981462287
10,Optimal,2060,552.6348533279021,5556.29425099859,2032,22.339418731138647,37.15300709849336,56.32414669508285,76.78195759805541,113.02117223298511
10,Optimal,2100,228.6015492179151,2169.5159632915456,2032,7.718279879931844,11.669213406187808,16.010535872411502,22.19323420113737,38.28384720304761
10,Optimal,2150,88.07682758238877,1004.1853430200994,2032,1.6860543410020685,4.205832776406134,6.385902449200142,9.205083323093039,17.331098947041685
10,Optimal,2200,37.025804787985834,443.00551867952055,2032,0.2226309441720741,0.9043420953764093,2.1862941700157927,3.8551947776565836,8.370979905770108
15,Delayed,2025,0.0,0.0,2027,0.0,0.0,0.0,0.0,0.0
15,Delayed,2030,471.10539506848073,4741.3914347999735,2026,10.011008308790764,19.449525514365746,35.51642627631651,61.8867480829847,77.67883083388006
15,Delayed,2035,942.2107901369615,9482.782869599947,2026,20.022016617581528,38.89905102873149,71.03285255263302,123.77349616596942,155.3576616677601
15,Delayed,2040,1413.316185205442,14224.174304399925,2026,30.033024926372295,58.34857654309724,106.54927882894953,185.66024424895411,233.03649250164014
15,Delayed,2060,709.7230895552105,6642.74858475787,2026,23.041480783214894,38.96808233241654,63.739866003620676,94.77264247318926,139.61602680548395
15,Delayed,2100,291.2472859181511,2730.4407798379166,2026,8.222826074235567,13.093688603413014,18.863368620375343,27.800251995538286,50.132448419822666
15,Delayed,2150,116.85230389526441,1172.6699388783506,2026,2.7728567357736242,5.378594038933057,7.77352145814463,11.321417319549024,22.51812453067209
15,Delayed,2200,52.21909489810854,639.0681357909286,2026,0.4016724246670129,1.448640880829167,2.9323882284601552,4.808608286751264,10.422758317178747
15,Optimal,2025,2111.6785359637624,25216.085967809886,2026,28.545408680622742,60.663024319010425,115.37630503357931,215.32128396908496,288.8254592370921
15,Optimal,2030,1856.0381306117395,19259.934021546327,2026,28.866904452231545,58.8633210807127,110.00376223619196,197.1778751576814,255.55293852406237
15,Optimal,2035,1600.3977252597165,14840.806244031559,2026,28.975016300256524,57.1974999679237,103.81244988656306,177.90852471749594,227.4634373161176
15,Optimal,2040,1344.7573199076935,13555.97307136897,2026,29.190136083672357,55.11372761170358,97.00585441992104,154.71716438253247,198.6229377206855
15,Optimal,2060,505.8542660898034,5392.083547246367,2026,22.320664918760677,37.01665305351165,56.33480055266977,76.63876663928082,112.08475279089319
15,Optimal,2100,200.80307285714633,1882.8118671264067,2026,7.669307489305275,11.716572432794315,15.782964762500832,21.9723469274616,37.73638369697312
15,Optimal,2150,99.30289828372594,1191.2072470536593,2026,1.6002583320771882,4.1405032411901885,6.311163636099977,9.099682319380165,17.16508689822331
15,Optimal,2200,32.220424259555216,438.3466005622891,2026,0.21067746755787406,0.8548028609354252,2.125305950154064,3.83067852167501,8.168253246953794
